PROP_ID,SPID,CITY,PRICE,PRICE_SQFT,AREA,TOTAL_LANDMARK_COUNT,PROP_HEADING,DESCRIPTION,PROPERTY_TYPE,FURNISH,FACING,AGE,TOTAL_FLOOR,BEDROOM_NUM,PROP_NAME,BALCONY_NUM,FLOOR_NUM,LATITUDE,LONGITUDE,BHK_BED,LOCALITY_NAME,BUILDING_NAME,SOCIETY_NAME,ADDRESS,TRANSPORATION,ACCOMODATION,LEISURE,EDUCATION,HEALTH,OTHER,AMENITIES_SCORE,FEATURES_SCORE
b71021026,71021026,gurgaon,1725000.0,2422.0,712.0,13.0,2 bhk independent builder floor in sector 63 gurgaon,"brand new builder floor available for sale in bhiwadi rajasthan , its 2 bedroom 2 bathroom kitchen drawing dining front and rear balcony very good interior . fully furnished, you will get 7000 /- rent per month and good discount also if you like this property and wantto visit bhiwadi will provide you pick n drop facilities.  this is free hold property will get loan from hdfc bank . booking 10 percent rest of amount will get finance from hdfc bank very few flats left .",independent/builder floor,Furnished,South,0-1 Year Old Property,mid rise,2.0,adani brahma samsara vilasa,2.0,low rise,28.411794,77.06903,2.0,sector 63 gurgaon,adani brahma samsara vilasa,adani brahma samsara vilasa,,3.0,2.0,4.0,2.0,1.0,1.0,91,36
j66486956,66486956,gurgaon,3200000.0,3137.0,1020.0,15.0,3 bhk independent builder floor in rajendra park,property near to gurgaon railway modular kitchen texture paints wall paper intercoms facilities camera facilities washroom fully tiles car parking lift facility fans chimney almirah water and a great place to stay in gurgaon    additional details :  the kitchen has been built with modular fittings. partial power backup available.  the house has muncipal supply. each house has a dedicated water tank. you can easily park your car inside the compound. there is also a lift to make the living more convenient specially for old age people it is under cctv surveillance. the property has a dedicated security guard.,independent/builder floor,Semifurnished,North-West,0-1 Year Old Property,mid rise,3.0,rana affordable floors,1.0,low rise,28.4945598,77.0071456,3.0,rajendra park,rana affordable floors,rana affordable floors,,2.0,2.0,5.0,4.0,0.0,2.0,24,12
s66486900,66486900,gurgaon,3300000.0,3473.0,950.0,15.0,3 bhk independent builder floor in rajendra park,property near to gurgaon railway modular kitchen texture paints wall paper intercoms facilities camera facilities washroom fully tiles car parking lift facility fans chimney almirah water and a great place to stay in gurgaon    additional details :  the kitchen has been built with modular fittings. partial power backup available.  the house has muncipal supply. each house has a dedicated water tank. you can easily park your car inside the compound. there is also a lift to make the living more convenient specially for old age people it is under cctv surveillance. the property has a dedicated security guard.,independent/builder floor,Semifurnished,North-West,0-1 Year Old Property,mid rise,3.0,rana affordable floors,1.0,mid rise,28.49269,77.006065,3.0,rajendra park,rana affordable floors,rana affordable floors,,2.0,2.0,5.0,4.0,0.0,2.0,24,12
z54395592,54395592,gurgaon,3500000.0,3890.0,900.0,49.0,2 bhk independent builder floor in ashok vihar phase 2,why pay rent get ready to move fully furnished 2 bhk & 3 bhk flat  in heart of gurgaon ashok vihar ph-ii gurgaon registry and bank loan available  price details : 3 bhk - 45 lakh (front balcony) 2 bhk - 38 lakh (front balcony)  key highlights :  one covered car parking lift access to all floors latest design jhoomar in each flat washable wallpapers wooden almirah in rooms modular kitchen with chimney one common washroom for guests false ceiling in every room  corner property cctv surveillance well ventilated rooms vitrified tiles branded fans in every room and living area 1st class sanitary used in washroom & kitchen natural light airy rooms good locality near by market & main road  we have lot of options in different different locations plan your visit for today & book your dream home    additional details :  the property is facing a park. the kitchen has been built with modular fittings. partial power backup available.  the house has muncipal supply. each house has a dedicated water tank. you can easily park your car inside the compound. there is also a lift to make the living more convenient specially for old age people it is under cctv surveillance. the property has a dedicated security guard.,independent/builder floor,Furnished,East,0-1 Year Old Property,mid rise,2.0,,1.0,low rise,28.486082,77.01843,2.0,ashok vihar phase 2,,,,0.0,1.0,0.0,0.0,35.0,2.0,34,17
p53721828,53721828,gurgaon,3500000.0,3888.0,900.0,48.0,2 bhk independent builder floor in hans enclave,why pay rent get ready to move fully furnished 2 bhk & 3 bhk flat  in heart of gurgaon hans enclave gurgaon registry and bank loan available  price details : 3 bhk - 48 lakh (front balcony) 2 bhk - 38 lakh (front balcony) 2 bhk - 35 lakh (back balcony)  discount 3 lakh per flat  key highlights :  one covered car parking lift access to all floors latest design jhoomar in each flat washable wallpapers wooden almirah in rooms modular kitchen  hindware chimney installed one common washroom for guests false ceiling in every room  corner property cctv surveillance well ventilated rooms vitrified tiles branded fans in every room and living area 1st class sanitary used in washroom & kitchen natural light airy rooms good locality near by 4 school near by market  we have lot of options in different different locations plan your visit for today & book your dream home    additional details :  the property is located on the main road the kitchen has been built with modular fittings. no power backup available.  the house has muncipal supply. each house has a dedicated water tank. you can easily park your car inside the compound. there is also a lift to make the living more convenient specially for old age people it is under cctv surveillance. the property has a dedicated security guard.,independent/builder floor,Furnished,North-West,0-1 Year Old Property,mid rise,2.0,new builder floor,1.0,low rise,28.444849,77.02305,2.0,hans enclave,new builder floor,new builder floor,,0.0,0.0,2.0,0.0,41.0,3.0,34,17
q60955812,60955812,gurgaon,3500000.0,5000.0,700.0,50.0,2 bhk independent builder floor in dayanand colony,near sector 5 hudda market gurgaon,independent/builder floor,Semifurnished,East,0-1 Year Old Property,mid rise,2.0,,1.0,low rise,28.473129,77.020495,2.0,dayanand colony,,,,0.0,1.0,0.0,0.0,40.0,2.0,22,5
k66487162,66487162,gurgaon,3500000.0,3398.0,1030.0,15.0,3 bhk independent builder floor in sector 105 gurgaon,property near to gurgaon railway modular kitchen texture paints wall paper intercoms facilities camera facilities washroom fully tiles car parking lift facility fans chimney almirah water and a great place to stay in gurgaon    additional details :  the kitchen has been built with modular fittings. partial power backup available.  the house has muncipal supply. each house has a dedicated water tank. you can easily park your car inside the compound. there is also a lift to make the living more convenient specially for old age people it is under cctv surveillance. the property has a dedicated security guard.,independent/builder floor,Semifurnished,North-West,0-1 Year Old Property,mid rise,3.0,rana affordable floors,1.0,low rise,28.49269,77.006065,3.0,sector 105 gurgaon,rana affordable floors,rana affordable floors,,2.0,2.0,5.0,4.0,0.0,2.0,24,12
o50446040,50446040,gurgaon,3500000.0,2916.0,1200.0,48.0,2 bhk independent builder floor in shanti nagar,"why pay rent  get ready to move  2 bhk front side - 38 lakh 2 bhk back side - 33 lakh & 3 bhk front side - 45  lakh flat in hans enclave, sector 33, gurgaon  peak location on main nh-8 registry & bank loan facility available - 2 mins from rajiv chowk - registry & 80% loan available. - covered parking (car & bike) - lift with power backup - modular kitchen & almirah - chimney and false ceiling - false ceiling led lighting - 200 meters from nh 8 - close to rajiv chowk and medanta - 5 mins from huda city center metro station - stilt & gated car parking  additional details :  the property is facing a park. piped gas facility is available. the kitchen has been built with modular fittings. full power backup available.  the house has muncipal supply. each house has a dedicated water tank. you can easily park your car inside the compound. there is also a lift to make the living more convenient specially for old age people it is under cctv surveillance. the property has a dedicated security guard.",independent/builder floor,Furnished,East,0-1 Year Old Property,mid rise,2.0,,1.0,low rise,28.444527,77.02273,2.0,shanti nagar,,,tanishq residency,0.0,0.0,2.0,0.0,41.0,3.0,39,8
y53314794,53314794,gurgaon,3500000.0,4226.0,900.0,49.0,2 bhk independent builder floor in sukhrali,book your dream home   in heart of gurgaon best locations & best price,independent/builder floor,Furnished,East,0-1 Year Old Property,mid rise,2.0,,1.0,low rise,28.477142,77.059987,2.0,sukhrali,,,,1.0,7.0,2.0,0.0,7.0,1.0,34,17
h48380201,48380201,gurgaon,3500000.0,3555.0,900.0,49.0,2 bhk independent builder floor in shanti nagar,"why pay rent get ready to move fully furnished 2 bhk & 3 bhk flat  in heart of gurgaon hans enclave, near rajiv chowk, sector 33, gurgaon registry and bank loan available   key highlights :  one covered car parking lift access to all floors latest design jhoomar in each flat washable wallpapers wooden almirah in rooms modular kitchen  hindware chimney installed one common washroom for guests false ceiling in every room  corner property cctv surveillance well ventilated rooms vitrified tiles branded fans in every room and living area 1st class sanitary used in washroom & kitchen natural light airy rooms good locality 200 mtr away from nh8",independent/builder floor,Furnished,North-East,0-1 Year Old Property,mid rise,2.0,tanishq residency,1.0,low rise,28.447757330623,77.024301312513,2.0,shanti nagar,tanishq residency,tanishq residency,,0.0,2.0,2.0,1.0,38.0,4.0,31,8
