PROP_ID,SPID,CITY,PRICE,PRICE_SQFT,AREA,TOTAL_LANDMARK_COUNT,PROP_HEADING,DESCRIPTION,PROPERTY_TYPE,FURNISH,FACING,AGE,TOTAL_FLOOR,BEDROOM_NUM,PROP_NAME,BALCONY_NUM,FLOOR_NUM,LATITUDE,LONGITUDE,BHK_BED,LOCALITY_NAME,BUILDING_NAME,SOCIETY_NAME,ADDRESS,TRANSPORATION,ACCOMODATION,LEISURE,EDUCATION,HEALTH,OTHER,AMENITIES_SCORE,FEATURES_SCORE
i70921750,70921750,gurgaon,600000.0,1200.0,4500.0,49.0,36 bedroom house in sector 39 gurgaon,luxury furnished guest house with basement   36 bhk in  500 sqyd   new construction  prime location,independent house/villa,Furnished,North-East,1-5 Year Old Property,mid rise,36.0,sector 39 ,4.0,,28.4423313,77.0492504,36.0,sector 39 gurgaon,sector 39 ,sector 39 ,sector 39,0.0,9.0,3.0,0.0,15.0,3.0,6,0
y70723708,70723708,gurgaon,600000.0,1200.0,4500.0,47.0,18 bedroom house in sector 46 gurgaon,18 bhk luxury furnished main 60 meter road in sector 46.terrace restaurant & banquet . very luxury . spacious suite rooms.,independent house/villa,Furnished,South-West,1-5 Year Old Property,mid rise,18.0,rwa sector 46,4.0,,28.437288,77.059136,18.0,sector 46 gurgaon,rwa sector 46,rwa sector 46,sector 46,0.0,10.0,1.0,0.0,15.0,2.0,31,0
s70845522,70845522,gurgaon,1200000.0,2181.0,4950.0,48.0,35 bedroom house in sector 45 gurgaon,luxury furnished guest house with basement 35 bhk in 550 square yard new construction prime location,independent house/villa,Furnished,North-East,0-1 Year Old Property,mid rise,35.0,,4.0,,28.4439933,77.06652,35.0,sector 45 gurgaon,,,sector 45,1.0,11.0,1.0,1.0,14.0,1.0,38,0
c70921432,70921432,gurgaon,1250000.0,2500.0,4500.0,48.0,35 bedroom house in sector 45 gurgaon,luxury furnished guest house with basement  35 bhk in  550 sqyd   new construction  prime location,independent house/villa,Furnished,North-East,0-1 Year Old Property,mid rise,35.0,sector 45,4.0,,28.4439933,77.06652,35.0,sector 45 gurgaon,sector 45,sector 45,sector 45,1.0,11.0,1.0,1.0,14.0,1.0,14,0
r69802250,69802250,gurgaon,3600000.0,78260.0,414.0,49.0,2 bedroom house in laxman vihar phase 2,near by railways station near by market near by bus stand near by apna enclave,independent house/villa,Unfurnished,North,5-10 Year Old Property,low rise,2.0,,1.0,,28.4790075037091,76.9972558619452,2.0,laxman vihar phase 2,,,,0.0,1.0,0.0,0.0,37.0,1.0,18,0
h70811478,70811478,gurgaon,4200000.0,42000.0,900.0,2.0,3 bedroom house in shyam kunj,vary good location and near dps school maruti kunj and east facing and 3 bad grand floor summer sever and dhvvn meter,independent house/villa,Semifurnished,North-East,1-5 Year Old Property,low rise,3.0,,2.0,,28.36011,77.0734,3.0,shyam kunj,,,,0.0,0.0,0.0,0.0,1.0,1.0,20,0
p69865826,69865826,gurgaon,6000000.0,5000.0,1200.0,48.0,3 bedroom house in hans enclave,"on the lookout for a spacious house in gurgaon? go for this 3 bhk house for sale in hans enclave, a well-connected locality within gurgaon. constructed on a built up area of 1200 sq.ft., this house comprises 3 bedrooms, 2 bathrooms and 1 balcony. the houses comes with dedicated 1 covered parking space(s) where you can easily park your vehicle(s). another added advantage of this 0-1 year old house is that it is available for immediate possession. the type of ownership of this property is freehold. by paying just  60 lac, you can become the proud owner of this independent house.",independent house/villa,Semifurnished,not available,0-1 Year Old Property,low rise,3.0,,1.0,,28.446136,77.025377,3.0,hans enclave,,,,0.0,2.0,2.0,1.0,37.0,3.0,21,0
q69876148,69876148,gurgaon,6500000.0,81250.0,720.0,33.0,3 bedroom house in rajendra park,near by dwarka express way near by railways station near by market near by bus stand  additional details :  the kitchen has been built with modular fittings.  the house has muncipal supply supply. you can easily park your car inside the compound having a provision to park 2 cars. there is also a lift inside the house to make the living more convenient specially for old age people,independent house/villa,Unfurnished,East,1-5 Year Old Property,low rise,3.0,,1.0,,28.489143,77.00058,3.0,rajendra park,,,,0.0,1.0,0.0,0.0,23.0,1.0,12,0
i70216304,70216304,gurgaon,6500000.0,92857.0,630.0,50.0,3 bedroom house in shanti nagar,this property located in shanti nagar sector-11 gurgaon haryana. this is duplex. prime location on 22 feer wode road. call for more details.,independent house/villa,Semifurnished,not available,1-5 Year Old Property,low rise,3.0,,4.0,,28.4595,77.02664,3.0,shanti nagar,,,yadav niwas,0.0,0.0,0.0,1.0,43.0,3.0,0,0
d70727642,70727642,gurgaon,6900000.0,38333.0,1620.0,15.0,2 bedroom house in sector 83 gurgaon,"planning to buy an individual house in gurgaon. then you should definitely check out this 2 bhk house for sale in sector 83 gurgaon, a well-planned and well-connected locality in gurgaon. the property's proximity to landmarks like close to school and close to market makes it ideal property for families. this house occupies a super built up area of 180 sq.yards and contains 2 bedrooms, 2 bathrooms and 2 balconies. the houses comes with dedicated 1 open parking space(s) where you can easily park your vehicle(s). being a ready to move house, you can expect immediate possession of this 5-10 years old property. the nature of ownership of this independent house is freehold. this spacious house can be all yours at an attractive price of  69 lac. the house will offer a modern lifestyle as it is presented with many of the amenities such as maintenance staff and visitor parking. the residents of this house enjoy a 24*7 access to clean water.",independent house/villa,Semifurnished,not available,5-10 Year Old Property,low rise,2.0,vatika emilia floors,2.0,,28.399772,76.968991,2.0,sector 83 gurgaon,vatika emilia floors,vatika emilia floors,,1.0,4.0,4.0,1.0,4.0,1.0,24,0
