PROP_ID,SPID,CITY,PRICE,PRICE_SQFT,AREA,TOTAL_LANDMARK_COUNT,PROP_HEADING,DESCRIPTION,PROPERTY_TYPE,FURNISH,FACING,AGE,TOTAL_FLOOR,BEDROOM_NUM,PROP_NAME,BALCONY_NUM,FLOOR_NUM,LATITUDE,LONGITUDE,BHK_BED,LOCALITY_NAME,BUILDING_NAME,SOCIETY_NAME,ADDRESS,TRANSPORATION,ACCOMODATION,LEISURE,EDUCATION,HEALTH,OTHER,AMENITIES_SCORE,FEATURES_SCORE
v70318584,70318584,gurgaon,12999.0,8.0,1464.0,32.0,1 bhk independent builder floor in sector 22 gurgaon,"only 1 big sie bed room set available for rent 12,000 pm on 2nd yani top floor in sector 22b.",independent/builder floor,Semifurnished,West,5-10 Year Old Property,low rise,1.0,saksham welfare association,2.0,low rise,28.5068253,77.0636419,1.0,sector 22 gurgaon,saksham welfare association,saksham welfare association,,0.0,2.0,3.0,0.0,5.0,3.0,20,7
a70375250,70375250,gurgaon,14500.0,16.0,900.0,35.0,1 bhk independent builder floor in sector 21 gurgaon,one bhk builders floor apartment for rent in sector 21 gurgaon  additional details :  piped gas facility is available. the kitchen has been built with modular fittings. full power backup available.  the house has muncipal supply. each house has a dedicated water tank. you can easily park your car inside the compound. there is also a lift to make the living more convenient specially for old age people the property has a dedicated security guard.,independent/builder floor,Semifurnished,West,1-5 Year Old Property,low rise,1.0,sector 21 rwa,1.0,low rise,28.5133929,77.0722759,1.0,sector 21 gurgaon,sector 21 rwa,sector 21 rwa,,0.0,4.0,1.0,0.0,5.0,0.0,24,12
s70666054,70666054,gurgaon,15000.0,14.0,1000.0,46.0,3 bhk independent builder floor in ashok vihar phase 2,"carefully laid out in the prime location of gurgaon, this spacious 3 bhk builder floor for rent in ashok vihar phase 2 is now available for 14,990 monthly. electricity & water charges are all excluded in rent. the builder floor will be available from mon, 07 aug 2023 for family on any agreement type this 3 bhk builder floor consists of 2 bathrooms & 1 balcony space. the floor is spread over super built up area of 1000 sq.ft. the building has ample parking space for each floor owners - 1 covered parking. this builder floor is on the 3rd floor. this builder floor is 1-5 years old.  additional details :  the kitchen has been built with modular fittings. no power backup available.  the house has river water. you can easily park your car inside the compound. it is under cctv surveillance.",independent/builder floor,Semifurnished,North-East,1-5 Year Old Property,mid rise,3.0,,1.0,low rise,28.459896,77.098816,3.0,ashok vihar phase 2,,,"2690/30,near shiv shakti mandir opposite new samrat garden and aakarsh apartment",3.0,5.0,0.0,2.0,10.0,3.0,0,0
a70122022,70122022,gurgaon,15500.0,17.0,877.0,26.0,1 bhk independent builder floor in sector 23a gurgaon,one bhk builders floor apartment for rent in sector 23 a gurgaon  additional details :  the kitchen has been built with modular fittings. full power backup available.  the house has muncipal supply. each house has a dedicated water tank. you can easily park your car inside the compound. it is under cctv surveillance. the property has a dedicated security guard.,independent/builder floor,Semifurnished,South,1-5 Year Old Property,mid rise,1.0,progressive rwa,2.0,low rise,28.505619,77.049258,1.0,sector 23a gurgaon,progressive rwa,progressive rwa,,0.0,0.0,6.0,0.0,3.0,4.0,37,12
u71005354,71005354,gurgaon,16500.0,33.0,500.0,46.0,1 bhk independent builder floor in c block sushant lok phase 1,"fully furnished one room set for rent in sushant lok 1, c block.",independent/builder floor,Furnished,North-West,0-1 Year Old Property,low rise,1.0,ansal,1.0,low rise,28.4521854,77.0825133,1.0,c block sushant lok phase 1,ansal,ansal,,2.0,6.0,0.0,2.0,11.0,3.0,43,12
y70217500,70217500,gurgaon,17000.0,16.0,1056.0,15.0,2 bhk independent builder floor in sector 82 gurgaon,"2bhk, 1056sqft, east facing, available for rent at a very reasonable rate.  primrose floors are the ideal homes for families who prefer to pursue an independent approach to life. built on plots of 240 sqyrds, these residential units have three floors each with a single home on each floor. the floors have been meticulously planned, with special emphasis on efficient space utilization and from this perspective, they are among the best builder floors in gurgaon. the ground floors have front sit-outs and exclusive rear lawns, while the first and second floor residents have spacious balconies and a terrace. along with the uncluttered skylines of low-rise developments, the residents of primrose floors get a high degree of privacy and independence. and since they are located in sectors 82 and 83, the residents get easy access to all the amenities of vatika india next, too. thus, by offering residents all the convenience of community living without giving up their sense of inde-pendence, these really are the best independent floors.",independent/builder floor,Semifurnished,East,1-5 Year Old Property,low rise,2.0,vatika primrose floors,2.0,low rise,28.394232,76.959186,2.0,sector 82 gurgaon,vatika primrose floors,vatika primrose floors,,2.0,2.0,3.0,1.0,1.0,6.0,91,34
e70007978,70007978,gurgaon,17000.0,14.0,1150.0,11.0,2 bhk independent builder floor in sector 82 gurgaon,"explore this spacious builder floor for rent in sector 82 gurgaon at a most competitive price of 17,000 per month. we are ready to rent out this builder floor on any agreement type from sun, 02 jul 2023 to families, single men and single women only. this unfurnished floor comes with 2 bathrooms & 2 balconies. the floor is spread over carpet area of 1150 sq.ft. the building has ample parking space for each floor owners - 1 open parking. this floor is on the top floor in a tower of 2 floors. this floor is actually just 1-5 years old. other highlights are in a gated society. this property faces north-east direction. flooring done in the premises is high quality vitrified.  additional details :  the kitchen has been built with modular fittings. no power backup available.  the house has muncipal supply. each house has a dedicated water tank. you can easily park your car inside the compound. the property has a dedicated security guard.",independent/builder floor,Unfurnished,North,1-5 Year Old Property,low rise,2.0,,2.0,low rise,28.391201,76.96399,2.0,sector 82 gurgaon,,,,0.0,0.0,1.0,0.0,1.0,4.0,19,7
t70268870,70268870,gurgaon,17000.0,18.0,923.0,13.0,2 bhk independent builder floor in sector 82 gurgaon,"this builder floor for rent in sector 82 gurgaon is now available at a monthly rent of  17,000. we are ready to rent out this builder floor on any agreement type from sun, 16 jul 2023 to families, single men and single women only. this 2 bhk builder floor consists of 2 bathrooms & 2 balconies space. the floor is spread over carpet area of 923 sq.ft. the building has ample parking space for each floor owners - 1 open parking. this floor is on the top floor in a tower of 2 floors. this floor is actually just 1-5 years old. property features - water storage. this property is waste disposal and rain water harvesting. this floor is north-east facing. vitrified flooring is used in this builder floor.",independent/builder floor,Unfurnished,North-East,1-5 Year Old Property,low rise,2.0,,2.0,low rise,28.3935416,76.9599852,2.0,sector 82 gurgaon,,,,0.0,0.0,1.0,0.0,1.0,6.0,29,5
p65321208,65321208,gurgaon,17000.0,24.0,720.0,47.0,1 bhk independent builder floor in sector 56 gurgaon,"marble flooring, 1 bhk, furnished with ac, with kitchen,  flat has one drawing room one bedroom one modular kitchen one bathroom with geyser  immediately available for rent  call to deepak kumar",independent/builder floor,Semifurnished,East,1-5 Year Old Property,mid rise,1.0,"nr suraj schol, metro, huda market, first floor",1.0,low rise,28.4256506,77.099613,1.0,sector 56 gurgaon,"nr suraj schol, metro, huda market, first floor","nr suraj schol, metro, huda market, first floor",,3.0,7.0,1.0,0.0,7.0,4.0,57,26
s61447678,61447678,gurgaon,17500.0,25.0,700.0,47.0,1 bhk independent builder floor in sector 56 gurgaon,"fully furnished 1bhk flat have one ac, one double bed, one almirah, one geyser in bathroom, furnished flat, one kitchen,, one bedroom one balcony,  near to huda market sector 56 gurgaon also near to metro station  immediately available for rent  for visit call to deepak kumar",independent/builder floor,Furnished,East,5-10 Year Old Property,mid rise,1.0,"furnisheed bedroom  ac, double bed, fridge",1.0,low rise,28.4256506,77.099613,1.0,sector 56 gurgaon,"furnisheed bedroom  ac, double bed, fridge","furnisheed bedroom  ac, double bed, fridge",,3.0,7.0,1.0,0.0,7.0,4.0,38,12
