PROP_ID,SPID,CITY,PRICE,PRICE_SQFT,AREA,TOTAL_LANDMARK_COUNT,PROP_HEADING,DESCRIPTION,PROPERTY_TYPE,FURNISH,FACING,AGE,TOTAL_FLOOR,BEDROOM_NUM,PROP_NAME,BALCONY_NUM,FLOOR_NUM,LATITUDE,LONGITUDE,BHK_BED,LOCALITY_NAME,BUILDING_NAME,SOCIETY_NAME,ADDRESS,TRANSPORATION,ACCOMODATION,LEISURE,EDUCATION,HEALTH,OTHER,AMENITIES_SCORE,FEATURES_SCORE
d68894450,68894450,gurgaon,1100000.0,146.0,10777.0,15.0,5 bhk flat in sector 42 gurgaon,"a 4 bhk duplex flat for rent in sector 42 gurgaon close to all basic civic amenities is available for just 11 lac in dlf the magnolias, gurgaon. this flat consists of 6 bathrooms & more than 3 balconies in 10000 sq.ft. super built-up area. this flat is constructed on 10777 sq.ft. area. an independent pooja room, study room, servant room and others is available in this property. parking available: 3 covered parking & 1 open parking. this flat lies on the 3rd floor of a 24 storey building. well maintained 0-1 year property. this property is furnished. equipped with 1 ac, 1 chimney, 1 curtains, 1 dining table, 1 exhaust fan, 1 fan, 1 geyser, 1 light, 1 microwave, 1 modular kitchen, 1 fridge, 1 sofa, 1 stove, 1 study table, 1 tv, 1 wardrobe, 1 washing machine and 1 water purifier. the flat will be available from thu, 04 may 2023 for families, single men and single women on any agreement type with a notice of 1 month for a duration of 11 months. the expected rent is 13 lac monthly and is negotiable. electricity & water charges are excluded. a security deposit of 4300000 is required.",residential apartment,Furnished,North-East,5-10 Year Old Property,high rise,5.0,dlf the magnolias,4.0,low rise,28.4548972,77.1053673,5.0,sector 42 gurgaon,dlf the magnolias,dlf the magnolias,a 209,4.0,3.0,0.0,3.0,4.0,1.0,141,63
y70794212,70794212,gurgaon,1775000.0,4277.0,600.0,3.0,1 bhk flat in sector 95 gurgaon,"ramsons kshitij , sector 95 imt manesar, main pataudi road, gurgaon   ramsons kshitij , sector 95 imt manesar, main pataudi road, gurgaon      85% loan available    oc received : 07-08-19 total flats : 792 area : 6.5 acres flat type : 1bhk flat price : 17.95 lacs  flat type : 2bhk flat price : 26.75 lacs   flat type : 3bhk flat price : 34.75 lacs   society flats 24 hour secured gated community community hall for social gathering retail market in premises for daily requirements 100 % power-back facility with 24*7 securities 2100 people are living there     allotted parking each home with vaastu concept park for children 15 min away from nh8 6.50 acre township basketball courts badminton court cycle track skating rink gym children park yoga area senior citizens park jogging track",residential apartment,Semifurnished,East,1-5 Year Old Property,high rise,1.0,ramsons kshitij,1.0,low rise,28.416679,76.902677,1.0,sector 95 gurgaon,ramsons kshitij,ramsons kshitij,216,0.0,0.0,0.0,0.0,3.0,0.0,68,42
s70190322,70190322,gurgaon,2000000.0,5463.0,366.0,15.0,1 bhk flat in sector 95 gurgaon,"situated in sector 95 gurgaon, rof ananda is a well planned society that offers a pleasant living experience to its residents. this 1 bhk flat in gurgaon is your opportunity to be a part of this community. this property faces the north-east direction. the flat is over 366 sq.ft. carpet area and comes with 1 bedroom(s), 1 bathroom and 1 balcony. this flat is situated on the 3rd floor of this 14 floors tall residential building. this 1-5 years old property is available for immediate possession as the project is ready to move. the wood flooring of this flat is beautifully designed and helps to give it a pleasing look. rof ananda is designed very well to provide modern facilities such as grocery shop, fitness centre / gym, park, lift(s) and water softening plant. you enjoy a 24*7 access to water in your flat.  additional details :  piped gas facility is available in the property. the apartment has borings water supply. daily needs shopping could be done within the society premises to make the stay convinent. full power backup is available. there is also a separate washroom for domestic help. the society has dedicated security guards for every tower.",residential apartment,Unfurnished,North-East,1-5 Year Old Property,high rise,1.0,rof ananda,1.0,low rise,28.484814,77.080853,1.0,sector 95 gurgaon,rof ananda,rof ananda,405,3.0,0.0,0.0,0.0,0.0,12.0,62,32
c64640776,64640776,gurgaon,2033000.0,3663.0,555.0,8.0,2 bhk flat in sector 86 gurgaon,"check out this 2 bhk apartment for sale in gls avenue 86, a popular residential project that houses in-demand flats in sector-86 gurgaon, gurgaon. the flat is facing the east direction. containing 2 bathrooms and 2 balconies, this flat is spread over an super built up area of 555 sq.ft.. this flat is situated on the 6th floor of this 14 floor tall residential building. this residential flat is currently in under construction and you can expect the possession of the same by 2025. the floor of this flat is beautifully designed using vitrified flooring, giving the flat an alluring look. the flat will offer a modern lifestyle as it is presented with many of the amenities such as maintenance staff, visitor parking, park, lift(s), shopping centre, fitness centre / gym, swimming pool, club house / community center, security personnel, water softening plant. you enjoy a 24*7 access to water in your flat.",residential apartment,Semifurnished,East,Under Construction,high rise,2.0,gls avenue 86,2.0,mid rise,28.401966,76.942206,2.0,sector 86 gurgaon,gls avenue 86,gls avenue 86,301,3.0,0.0,1.0,2.0,0.0,2.0,106,52
f70190474,70190474,gurgaon,2050000.0,5599.0,366.0,15.0,1 bhk flat in sector 95 gurgaon,"located in the popular residential address of sector 95 gurgaon, rof ananda is one of the most preferred destination for apartments in gurgaon. this 1 bhk flat is your ticket to be a part of this community. this is a north-east-facing property. constructed on a carpet area of 366 sq.ft., the flat comprises 1 bedroom(s), 1 bathroom and 1 balcony. this flat is situated on the 5th floor of this 14 floors tall residential building. this is a ready to move project and the property is 1-5 years old. the beautifully designed wood flooring enhances the beauty of the flat. all the modern amenities such as grocery shop, fitness centre / gym, park and lift(s) will make life easier for you. this residential project ensures a 24*7 water supply for its residents.  additional details :  piped gas facility is available in the property. the apartment has borings water supply. daily needs shopping could be done within the society premises to make the stay convinent. full power backup is available. there is also a separate washroom for domestic help. the society has dedicated security guards for every tower.",residential apartment,Semifurnished,North-East,1-5 Year Old Property,high rise,1.0,rof ananda,1.0,mid rise,28.484814,77.080853,1.0,sector 95 gurgaon,rof ananda,rof ananda,509,3.0,0.0,0.0,0.0,0.0,12.0,62,32
m70157806,70157806,gurgaon,2050000.0,5994.0,342.0,,1 bhk flat in sector-33 sohna,"this lovely 1 bhk apartment/flat in sector-33 sohna is available for sale in one of gurgaon's most popular projects, breez global heights. the flat is north-facing. the flat is over 342 sq.ft. carpet area and comes with 1 bedroom(s), 1 bathroom and 1 balcony. this flat is situated on the 5th floor of this 10 floors tall residential building. an added advantage of this 1-5 years old flat is that it is available for immediate possession as the project is already ready to move. the flat comes well built with vitrified flooring options. another plus point for this is that it is situated near close to school. the flat will offer a modern lifestyle as it is presented with many of the amenities such as security personnel, maintenance staff, shopping centre, cctv surveillance, club house / community center, fitness centre / gym, park, lift(s) and visitor parking. the society provides continuous water supply from borewell/tank and municipal corporation.",residential apartment,Unfurnished,North,1-5 Year Old Property,mid rise,1.0,breez global heights,1.0,mid rise,28.288781720029,77.067725439623,1.0,sector-33 sohna,breez global heights,breez global heights,000,0.0,0.0,0.0,0.0,0.0,0.0,106,54
y70023770,70023770,gurgaon,2200000.0,3703.0,594.0,8.0,2 bhk flat in sector 99 gurgaon,"pivotal riddhi-siddhi  overview:- pivotal riddhi - siddhi is perhaps a true realisation of a beautiful dream that each one of us see as we prepare to begin a new phase of our life. it is also the most important phase wherein we raise our young ones to become independent and able individuals, where we put self aside and work towards a common objective. an objective that is aimed at ensuring peace, wellness and prosperity for our family. and here s when we re-discover our true purpose for life.  riddhi -siddhi comes as a companion more than just a home. it is not a lavish escape but a responsible and able partner that ladders your dreams and help you realise them. strategically located along the proposed 150m wide dwarka expressway in sector-99, gurgaon; riddhi-siddhi aims to provide the best value for your money in every aspect - be it location, appreciation, space planning, design & architecture and connectivity with the mainstream growth sectors. the value 1bhk and 2bhk apartments are being co- developed under haryana govt. - (as part of the affordable housing policy 2013) & pivotal infrastructure pvt. ltd. - a leading real-estate major with an impeccable track record of excellent residential projects in ncr and zero-tolerance in delivery and quality standards.",residential apartment,Unfurnished,East,Under Construction,high rise,2.0,pivotal riddhi siddhi,2.0,mid rise,28.468492,76.969007,2.0,sector 99 gurgaon,pivotal riddhi siddhi,pivotal riddhi siddhi,,2.0,0.0,2.0,2.0,1.0,1.0,150,72
v70321588,70321588,gurgaon,2200000.0,4059.0,542.0,15.0,2 bhk flat in sector 110 gurgaon,bang on dwarka expressway near to concient mall near to igi airport near to metro sector 21,residential apartment,Furnished,North-East,Under Construction,high rise,2.0,diplomats golf link,2.0,mid rise,28.508126,77.017603,2.0,sector 110 gurgaon,diplomats golf link,diplomats golf link,,3.0,3.0,3.0,2.0,1.0,3.0,55,15
k70753022,70753022,gurgaon,2200000.0,6395.0,344.0,15.0,1 bhk flat in sector 95 gurgaon,"gated society, 24 security, park view, shopping complex, child play area, skating rink, open space , near by school , nh -8, hospital, mall , dwarka express, patodi road",residential apartment,Unfurnished,North-East,1-5 Year Old Property,high rise,1.0,rof ananda,1.0,mid rise,28.4143242,76.9081238,1.0,sector 95 gurgaon,rof ananda,rof ananda,,3.0,0.0,0.0,0.0,0.0,12.0,55,15
m70851308,70851308,gurgaon,2200000.0,4400.0,729.0,44.0,1 bhk flat in sector 52 gurgaon,"looking for a 1 bhk property for sale in gurgaon? buy this 1 bhk flat in ansal api sushant estate that is situated in sector 52 gurgaon. the flat occupies a super built up area of 729 sq.ft. that consists of 1 bedroom, 1 bathroom and 1 balcony. the property is located on the top floor of a 4 floors tall building. as the project is already ready to move, so you can easily move into this 5-10 years old property.",residential apartment,Furnished,North,5-10 Year Old Property,mid rise,1.0,ansal api sushant estate,1.0,mid rise,28.4354721,77.0823482,1.0,sector 52 gurgaon,ansal api sushant estate,ansal api sushant estate,,0.0,5.0,1.0,0.0,8.0,6.0,49,15
