PROP_ID,SPID,CITY,PRICE,PRICE_SQFT,AREA,TOTAL_LANDMARK_COUNT,PROP_HEADING,DESCRIPTION,PROPERTY_TYPE,FURNISH,FACING,AGE,TOTAL_FLOOR,BEDROOM_NUM,PROP_NAME,BALCONY_NUM,FLOOR_NUM,LATITUDE,LONGITUDE,BHK_BED,LOCALITY_NAME,BUILDING_NAME,SOCIETY_NAME,ADDRESS,TRANSPORATION,ACCOMODATION,LEISURE,EDUCATION,HEALTH,OTHER,AMENITIES_SCORE,FEATURES_SCORE
r70515244,70515244,gurgaon,230000.0,958.0,2160.0,45.0,residential land / plot in malibu town,"lemon street, malibu town, gurgaon, haryana 3side open and northeast facing plot for sale in malibu town near good earth mall. property is suitable for builder floor and residence purpose. very nice property in a prime location. for more details feel free contact us.",residential land,not available,East,Undefined,low rise,,malibu towne,,,28.425675,77.043508,,malibu town,malibu towne,malibu towne,,0.0,2.0,2.0,0.0,21.0,1.0,24,0
j70707946,70707946,gurgaon,900000.0,15000.0,60.0,50.0,residential land / plot in shree ram colony,sector 102 near by amstoria bptp  plots he plots  basapat ke sath  best location,residential land,not available,East,Undefined,mid rise,,sector 102 ,,,28.4595,77.02664,,shree ram colony,sector 102 ,sector 102 ,,0.0,0.0,0.0,1.0,43.0,3.0,12,0
q69980568,69980568,gurgaon,1260000.0,2000.0,630.0,2.0,residential land / plot in maruti kunj,"etr developers pvt. ltd. presents kuldeep avenue - ready to move-in!    gated community: experience the luxury of a secure and exclusive gated society at kuldeep avenue.  well maintained: immerse yourself in a well-maintained society with impeccable infrastructure and facilities.  guaranteed appreciation: invest with confidence as kuldeep avenue promises potential appreciation in value.  prime location: strategically located very close to gurgaon sohna highway for convenient connectivity.  easy access: just a 2-minute drive from the delhi-mumbai expressway and 10 minutes from rajeev chowk, gurgaon.  serene greenery: enjoy wide roads, lush green areas, and a park within the community for a serene living experience.  temple: a sacred space within the society to nurture your spiritual well-being.  essential utilities: 247 water and electricity supply for uninterrupted living.  kids play area: provide a fun and safe environment for your children to play and grow.  limited units: hurry! limited units available, so don't miss out on this exceptional opportunity.",residential land,not available,East,Undefined,mid rise,,,,,28.359777,77.079778,,maruti kunj,,,100,0.0,0.0,0.0,0.0,1.0,1.0,5,0
p70125644,70125644,gurgaon,1500000.0,12500.0,120.0,2.0,residential land / plot in bhondsi,planning to purchase a plot in gurgaon? this plot in bhondsi is situated in one of the excellent locations of the city. the plot is around super built up area of 120 sq.ft. in size. up to 3 floors can be easily built on this land. the property is enclosed by boundary wall. possession of land can be secured within 3 months. the property belongs to owner through freehold ownership. this residential plot is all yours for  12 lac.,residential land,not available,North-East,Undefined,low rise,,shyam kunj,,,28.35093,77.062225,,bhondsi,shyam kunj,shyam kunj,a22,0.0,0.0,0.0,0.0,1.0,1.0,13,0
z70930360,70930360,gurgaon,1500000.0,15000.0,900.0,14.0,residential land / plot in farrukh nagar,"we have a polt available for sale in farrukh nagar,gurgaon,available at best price of freehold property no broke. farrukh nagar to chand nagar main road",residential land,not available,East,Undefined,low rise,,,,,28.44798,76.8266,,farrukh nagar,,,,0.0,0.0,0.0,0.0,14.0,0.0,6,0
g70576660,70576660,gurgaon,1600000.0,16000.0,900.0,14.0,residential land / plot in farrukh nagar,this property is very prime location in farrukh nagar,residential land,not available,South,Undefined,mid rise,,,,,28.44798,76.8266,,farrukh nagar,,,,0.0,0.0,0.0,0.0,14.0,0.0,6,0
g69618568,69618568,gurgaon,1700000.0,1888.0,900.0,2.0,residential land / plot in maruti kunj,this property is good location,residential land,not available,North,Undefined,mid rise,,mrs 16 acres,,,28.359777,77.079778,,maruti kunj,mrs 16 acres,mrs 16 acres,c-19,0.0,0.0,0.0,0.0,1.0,1.0,11,0
s69618624,69618624,gurgaon,1700000.0,1888.0,900.0,2.0,residential land / plot in maruti kunj,this property is good location,residential land,not available,North,Undefined,mid rise,,mrs 16 acres,,,28.359777,77.079778,,maruti kunj,mrs 16 acres,mrs 16 acres,d-19,0.0,0.0,0.0,0.0,1.0,1.0,11,0
s67782542,67782542,gurgaon,1800000.0,2000.0,900.0,1.0,residential land / plot in ghamroj,etr group kuldeep avenue ready to move-in  gated community well maintained society pollution free environment   very close to gurgaon sohna highway. 2 min drive from delhi-mumbai expressway.  10 min drive from rajeev chowk gurgaon.  amenities  wide roads  sewerage system green area park temple  247 water & electricity kids play area,residential land,not available,East,Undefined,mid rise,,kuldeep avenue,,,28.3231218370345,77.0578435556586,,ghamroj,kuldeep avenue,kuldeep avenue,100,0.0,0.0,0.0,0.0,0.0,1.0,5,0
c62231392,62231392,gurgaon,1850000.0,2055.0,900.0,,residential land / plot in sector 36 sohna,"developing gated colony with sewage, wide tiles road, water , electricity and street lights etc........ it is situated very close to sohna road and bhondsi toll plaza.",residential land,not available,North,Undefined,mid rise,,"kuldeep avenue mahendwara, sohna road, gurgaon",,,28.287996,77.064602,,sector 36 sohna,"kuldeep avenue mahendwara, sohna road, gurgaon","kuldeep avenue mahendwara, sohna road, gurgaon",gated colony on sohna road,0.0,0.0,0.0,0.0,0.0,0.0,5,0
v68701976,68701976,gurgaon,2200000.0,22000.0,900.0,2.0,residential land / plot in maruti kunj,vary good location anear shyam kunj gali no 1 road 22 feet and 21 43 and maruty kunj main rad to only 500 meter distance,residential land,not available,North-East,Undefined,mid rise,,,,,28.359777,77.079778,,maruti kunj,,,,0.0,0.0,0.0,0.0,1.0,1.0,6,0
f70190932,70190932,gurgaon,2500000.0,73529.0,306.0,31.0,residential land / plot in new palam vihar phase 1,planning to build residence in gurgaon? this plot in new palam vihar phase 1 is the best deal for you. it spans over spectacular 34 sq.yards super built up area. this property allows you to construct upto 4 floors. the property is guarded and secluded by boundary wall around it. expected possession of property immediately. the owner of the property has freehold entitlement over the land. the asking price is only  25 lac. this plot is facing the east direction.,residential land,not available,East,Undefined,mid rise,,,,,28.50471,77.0187,,new palam vihar phase 1,,,,0.0,0.0,2.0,0.0,13.0,1.0,7,0
k70771258,70771258,gurgaon,2500000.0,25000.0,900.0,14.0,residential land / plot in farrukh nagar,"we have a plot available for sale in farrukh nagar,gurgaon, available at best price of freehold property",residential land,not available,East,Undefined,mid rise,,,,,28.44798,76.8266,,farrukh nagar,,,,0.0,0.0,0.0,0.0,14.0,0.0,6,0
i70950560,70950560,gurgaon,2640000.0,33000.0,720.0,14.0,residential land / plot in farrukh nagar,this property is very prime location in farrukh nagar .we have a plot available for sale in fazilpur mod.farrukh nagar gurgaon.,residential land,not available,East,Undefined,low rise,,,,,28.44798,76.8266,,farrukh nagar,,,,0.0,0.0,0.0,0.0,14.0,0.0,6,0
j70039618,70039618,gurgaon,2800000.0,28000.0,900.0,2.0,residential land / plot in maruti kunj,vary good location and main road maruti kunj road near shyam kunj gali no 1 22 feet road andtiyl road comleet,residential land,not available,East,Undefined,mid rise,,,,,28.359777,77.079778,,maruti kunj,,,,0.0,0.0,0.0,0.0,1.0,1.0,0,0
w70251286,70251286,gurgaon,3440000.0,3675.0,936.0,18.0,residential land / plot in sector 67a gurgaon,near mumbai expressway sohna city plot sohna imt 10 minute  gurgaon 25 minutes  kmp expressway 5 minutes  proposed cyber city sohna 2 km,residential land,not available,North-East,Undefined,mid rise,,,,,28.382146,77.055471,,sector 67a gurgaon,,,,0.0,2.0,0.0,0.0,7.0,1.0,17,0
s70949002,70949002,gurgaon,3500000.0,35000.0,900.0,14.0,residential land / plot in farrukh nagar,this property is very prime location in farrukh nagar .we have a plot available for sale in fazilpur mod.farrukh nagar gurgaon.,residential land,not available,North,Undefined,low rise,,,,,28.44798,76.8266,,farrukh nagar,,,,0.0,0.0,0.0,0.0,14.0,0.0,6,0
y61900682,61900682,gurgaon,3700000.0,18500.0,1800.0,50.0,residential land / plot in sohna road,"developing a gated society with all facilities on sohna road. electricity, sewage, water, wide tiles road,street lights etc.",residential land,not available,East,Undefined,mid rise,,,,,28.4595,77.02664,,sohna road,,,etr group developer,0.0,0.0,0.0,1.0,43.0,3.0,5,0
s70587768,70587768,gurgaon,3700000.0,4111.0,900.0,8.0,residential land / plot in sector 3 gurgaon,"check out this plot in sector 3 gurgaon, an ideal destination to build your dream residence. it spans over spectacular 900 sq.ft. super built up area. construction on this property can be easily done upto 4 floors. boundary wall is already constructed to separate the plot from nearby properties. within 3 months, possession of property can be transferred. the property belongs to owner through freehold ownership. this residential plot is all yours for  37 lac. it's a east-facing plot.",residential land,not available,East,Undefined,mid rise,,shf homes,,,28.454119,76.813618,,sector 3 gurgaon,shf homes,shf homes,,3.0,0.0,1.0,2.0,1.0,1.0,13,0
g69510522,69510522,gurgaon,3760000.0,16000.0,235.0,14.0,residential land / plot in farukhnagar,"hot property available for purchase , the plot is owned by us and no brokerage need to be paid . we have more inventories available for more details contact us",residential land,not available,North,Undefined,mid rise,,,,,28.449317,76.821574,,farukhnagar,,,,0.0,0.0,0.0,0.0,14.0,0.0,24,0
f69592186,69592186,gurgaon,3760000.0,16000.0,2115.0,14.0,residential land / plot in farrukh nagar,this property is very prime location in farrukh nagar,residential land,not available,South,Undefined,low rise,,,,,28.44798,76.8266,,farrukh nagar,,,,0.0,0.0,0.0,0.0,14.0,0.0,6,0
a70497776,70497776,gurgaon,3920000.0,40816.0,882.0,6.0,residential land / plot in pataudi,project yash vihar in pataudi sector 5 gurgaon and more facillity are  more details contect me,residential land,not available,North,Undefined,mid rise,,yash vihar,,,28.326679,76.781966,,pataudi,yash vihar,yash vihar,,1.0,0.0,1.0,2.0,1.0,1.0,24,0
v70700902,70700902,gurgaon,3995000.0,17000.0,2115.0,14.0,residential land / plot in farrukh nagar,farrukh nagar is an ideal location for buying residential plot in gurgaon.this plot in farrukh nagar is a great buy for you.this property is very prime location in farrukh nagar.main farrukh nagar to fazilpur road .near by wesley international school.,residential land,not available,South,Undefined,mid rise,,,,,28.44798,76.8266,,farrukh nagar,,,,0.0,0.0,0.0,0.0,14.0,0.0,6,0
i70250502,70250502,gurgaon,4130000.0,3671.0,1125.0,18.0,residential land / plot in sector 67 gurgaon,plot available for sale in fully developed area badshpur near sector- market gurgaon  all basic amenities  boundary walls  water supply  gated society  park  temple  school,residential land,not available,North-East,Undefined,mid rise,,,,,28.386048,77.0607637,,sector 67 gurgaon,,,,0.0,2.0,0.0,0.0,7.0,1.0,11,0
w70576108,70576108,gurgaon,5076000.0,18000.0,2538.0,14.0,residential land / plot in farrukh nagar,"we have a plot available for sale in farrukh nagar ,gurgaon ,available at . best price of freehold property.",residential land,not available,North,Undefined,mid rise,,,,,28.44798,76.8266,,farrukh nagar,,,,0.0,0.0,0.0,0.0,14.0,0.0,6,0
n70248948,70248948,gurgaon,5100000.0,41202.0,1114.0,,residential land / plot in badsa,"check out this plot for sale in sector 99a gurgaon, one of the best locations in gurgaon. the plot is around super built up area of 124 sq.yards in size. construction on this property can be easily done upto 4 floors. by april 2024, possession of property can be transferred. the type of ownership is freehold. the price of this massive plot is just 51 lac. further negotiations can be done.",residential land,not available,not available,Undefined,mid rise,,,,,28.513805,76.858877,,badsa,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0
